ParticipantID,Experiment,WeightedRating,PartNormalizedRating,Z_Score,ZScoreRating,PartZScoreRating
1,AX,16,0,-0.857921977699996,0,-1.62957811252122
2,AX,7.33,0,-1.28819633489189,0,-0.961486907807252
3,AX,8,0,-1.25494560602009,0,-0.821974667700886
4,AX,8.67,0.0437051532941944,-1.22169487714828,0,-0.549171596007831
5,AX,67.33,1,1.68948087750878,0,1.43824713394113
6,AX,30,0.494845360824742,-0.16313062813984,0,-0.0635145546103607
7,AX,11.33,0.635743519781719,-1.08968452073185,0,0.765029304902859
8,AX,27.33,0,-0.29563726409167,0,-1.9980395150767
9,AX,30,0.299978572959074,-0.16313062813984,0,-0.677693383626501
10,AX,50,0.616396137250873,0.829428442660382,0,0.435195497735705
11,AX,12,0,-1.05643379186004,0,-0.801696694408121
12,AX,26,0,-0.361642442299885,0,-1.84829074453867
13,AX,18.67,0.232252879721404,-0.725415341748166,0,-0.138916144071974
14,AX,30,0,-0.16313062813984,0,-1.32133211035164
15,AX,58.67,0.493029150823828,1.25970279985228,0,0.00583978670012639
16,AX,2.67,0.0394117647058823,-1.51946259838834,0,-0.758585738393722
17,AX,30.67,0.323529411764706,-0.129879899268033,0,-0.320873066983804
18,AX,37.33,0,0.200642271308441,0,-2.08124175252759
19,AX,22,0.492268636048927,-0.560154256459929,0,0.0470397861488978
20,AX,41.33,0.190357142857143,0.399154085468486,0,-0.735879886085511
1,BX,26.67,0.216298398540442,-0.328391713428077,0,-0.986715442980154
2,BX,26,0.59572431397575,-0.361642442299885,0,0.751391009059293
3,BX,31.33,1,-0.0971254499316255,0,2.05493666925221
4,BX,16.67,0.565557729941292,-0.824671248828189,0,0.808603652400052
5,BX,29.33,0.278389669578428,-0.196381357011648,0,-0.671806021584436
6,BX,40,0.907216494845361,0.333148907260271,0,0.982607521324991
7,BX,8.67,0.272851296043656,-1.22169487714828,0,-0.254644686313407
8,BX,70.67,1,1.85523824233241,0,1.07317307084805
9,BX,62.67,1,1.45821461401232,0,1.19700965135045
10,BX,32.67,0.260324635298952,-0.0306239921880104,0,-0.554931393305526
11,BX,17.33,0.614763552479815,-0.791916799491781,0,0.860042398278933
12,BX,46,0.468713381767049,0.630916628500338,0,-0.338073024009816
13,BX,15.33,0.142780605411197,-0.891172706571804,0,-0.39586704980004
14,BX,48,0.5625,0.73017253558036,0,0.343546348691427
15,BX,56.67,0.408534009294466,1.16044689277226,0,-0.227751681304942
16,BX,35.33,1,0.101386364228419,0,2.13284259624404
17,BX,76.67,1,2.15300596357248,0,1.80245466768091
18,BX,50,0.678628816282807,0.829428442660382,0,0.169249969389894
19,BX,0.67,0,-1.61871850546837,0,-1.12354529216642
20,BX,62.67,0.9525,1.45821461401232,0,1.13043144470318
1,BY,52,0.729779039124265,0.928684349740405,0,0.539405589772909
2,BY,10,0.0851946394384173,-1.15568969894006,0,-0.716527934157885
3,BY,15.33,0.314187741105872,-0.891172706571804,0,0.0819156066182838
4,BY,10,0.130463144161774,-1.15568969894006,0,-0.323441460960021
5,BY,14.67,0,-0.923927155908211,0,-1.48584231790035
6,BY,42.25,1,0.444811802725296,0,1.21798498841045
7,BY,9.33,0.362892223738063,-1.18894042781187,0,-0.00164286894395753
8,BY,48,0.47692662667282,0.73017253558036,0,-0.533296456676498
9,BY,16,0,-0.857921977699996,0,-1.4810555657409
10,BY,20,0,-0.659410163539952,0,-1.27881527729239
11,BY,12.67,0.077277970011534,-1.02318306298823,0,-0.59281016680956
12,BY,53.33,0.640496836184673,0.994689527948619,0,0.215421770564008
13,BY,10,0,-1.15568969894006,0,-0.805911459240337
14,BY,52.67,0.7084375,0.961935078612212,0,0.775489815565379
15,BY,51.33,0.182931981411069,0.895433620868597,0,-0.851440900878476
16,BY,11.33,0.294117647058824,-1.08968452073185,0,0.00809427930263385
17,BY,8.67,0,-1.22169487714828,0,-1.33637763573649
18,BY,56,1,1.12719616390045,0,1.23499190557813
19,BY,6,0.123009462266328,-1.35420151310011,0,-0.83103622196386
20,BY,52.67,0.595357142857143,0.961935078612212,0,0.255871308438562
1,BZ,51.33,0.716197040340564,0.895433620868597,0,0.499038393091324
2,BZ,14.67,0.234205488194001,-0.923927155908211,0,-0.288079092606371
3,BZ,13.33,0.228461208744106,-0.990428613651826,0,-0.164712026210958
4,BZ,8,0,-1.25494560602009,0,-0.662885273061991
5,BZ,50.67,0.683630839346753,0.86267917153219,0,0.513155408387025
6,BZ,18,0,-0.758666070619974,0,-1.31886104573278
7,BZ,6.67,0,-1.3209507842283,0,-1.02131686016022
8,BZ,60.67,0.769266266728196,1.3589587069323,0,0.364540725226284
9,BZ,52.67,0.785729590743518,0.961935078612212,0,0.623179521268738
10,BZ,58,0.780768440517773,1.22645207098047,0,0.892265037743197
11,BZ,13.33,0.153402537485582,-0.990428613651826,0,-0.387041348578143
12,BZ,60,0.796812749003984,1.32570797806049,0,0.71907938036038
13,BZ,10.67,0.0179480310742031,-1.12243897006826,0,-0.754367415276923
14,BZ,37.33,0.2290625,0.200642271308441,0,-0.643356604530215
15,BZ,70.67,1,1.85523824233241,0,1.40738859473054
16,BZ,10.67,0.274705882352941,-1.12243897006826,0,-0.0503362994132547
17,BZ,34,0.3725,0.0353811860202043,0,-0.167162602713511
18,BZ,50,0.678628816282807,0.829428442660382,0,0.169249969389894
19,BZ,44,1,0.531660721420316,0,1.25439429730394
20,BZ,38.21,0.0789285714285715,0.244314870423651,0,-1.00874264860007
1,CX,44.67,0.581187918102575,0.564911450292123,0,0.0977764081669104
